"REP_treat","time_treat","status","antID","tagIDdecimal","identifStart","identifEnd","AntTask1perc","prop_time_outside","box","colony_size","treatment","Comment","Exposed","IsAlive","IsQueen","surviv_time","tag_reoriented","N_exposed","exp_start","exp_end","pre_start","pre_end","middle_start","middle_end","post_start","post_end"
"DF_alleline_c05","DF","Day",56,1517,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",57,1523,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",58,1558,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",59,1559,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",60,1599,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",61,1609,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",62,1635,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",63,1637,NA,NA,"forager",0.096,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",64,1656,NA,NA,"nurse",0,"alleline",105,"Pathogen",NA,FALSE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
"DF_alleline_c05","DF","Day",65,1661,NA,NA,"forager",0.985,"alleline",105,"Pathogen",NA,TRUE,TRUE,FALSE,2022-11-01 18:33:43,FALSE,5,2022-10-31 08:00:00,2022-11-01 18:30:00,2022-10-31 09:30:00,2022-10-31 18:30:00,2022-10-31 21:30:00,2022-11-01 06:30:00,2022-11-01 09:30:00,2022-11-01 18:30:00
